japanese,english
カバ,hippopotamus
薬(くすり)屋(や),drug store
ガソリンスタンド,gas station
嘘(うそ),a lie!; no way!; really!?
高(たか)い,"expensive, tall, high"
机(つくえ),desk
間(あいだ),between
バー,bar
デパート,department store
横(よこ),"beside, next to"
スーパー,supermarket
トラック,truck
本(ほん)当(とう),really?; true; truly
虎(とら),tiger
八百屋(やおや),vegetable store
芋(いも)虫(むし),green caterpillar (potato bug)
カンガルー,kangaroo
専(せん)門(もん)店(てん),specialty store
前(まえ),in front
コンビニ,convenience store
後(うし)ろ,behind
動(どう)物(ぶつ)園(えん),zoo
テーブル,table
安(やす)い,"cheap, inexpensive"
出(で)前(まえ),delivery (food)
本(ほん)屋(や),book store
ファーストフード,fast food
豹(ひょう),leopard
ドライブスルー,drive-through
持(も)ち帰(かえ)り,take out
隣(となり),next to; next door; neighboring (same type)
肉(にく)屋(や),butcher shop
動(どう)物(ぶつ),animal
ええ!,what!? (in surprise)
